Date,Open,High,Low,Close,Adj Close,Volume
2021-06-28,17531.820313,17595.509766,17481.230469,17590.970703,17590.970703,7091900
2021-06-29,17621.150391,17713.240234,17541.140625,17598.189453,17598.189453,8437900
2021-06-30,17648.250000,17797.269531,17648.250000,17755.460938,17755.460938,7979400
2021-07-01,17801.189453,17863.900391,17644.359375,17713.939453,17713.939453,9647200
2021-07-02,17745.689453,17795.880859,17676.980469,17710.150391,17710.150391,8973200
2021-07-05,17783.800781,17945.519531,17783.800781,17919.330078,17919.330078,7425200
2021-07-06,17929.220703,18008.369141,17895.779297,17913.070313,17913.070313,6634400
2021-07-07,17901.250000,17933.619141,17756.820313,17850.689453,17850.689453,6893400
2021-07-08,17880.900391,17935.109375,17742.080078,17866.089844,17866.089844,8078500
2021-07-09,17778.119141,17778.119141,17597.460938,17661.480469,17661.480469,6565500
2021-07-12,17843.300781,17947.900391,17759.900391,17814.330078,17814.330078,6898800
2021-07-13,17931.470703,18018.039063,17786.759766,17847.519531,17847.519531,8913100
2021-07-14,17892.509766,17940.859375,17716.439453,17845.750000,17845.750000,7380100
2021-07-15,17878.779297,18034.189453,17878.779297,18034.189453,18034.189453,5697300
2021-07-16,17839.580078,17926.380859,17779.609375,17895.250000,17895.250000,6709700
2021-07-19,17854.349609,17854.349609,17708.150391,17789.250000,17789.250000,5948000
2021-07-20,17724.919922,17724.919922,17500.689453,17528.740234,17528.740234,6263700
2021-07-21,17593.599609,17707.560547,17352.240234,17458.789063,17458.789063,7703300
2021-07-22,17482.810547,17667.380859,17482.810547,17572.330078,17572.330078,6900500
2021-07-23,17603.949219,17672.599609,17511.859375,17572.919922,17572.919922,6686500
2021-07-26,17554.929688,17637.359375,17403.560547,17403.560547,17403.560547,5927200
2021-07-27,17394.769531,17459.349609,17264.500000,17269.869141,17269.869141,6079500
2021-07-28,17252.869141,17252.869141,16893.699219,17135.220703,17135.220703,6728900
2021-07-29,17216.580078,17402.810547,17190.480469,17402.810547,17402.810547,5660700
2021-07-30,17414.769531,17429.009766,17237.669922,17247.410156,17247.410156,6577000
2021-08-02,17256.609375,17503.279297,17231.220703,17503.279297,17503.279297,5186900
2021-08-03,17489.119141,17553.759766,17456.199219,17553.759766,17553.759766,4533200
2021-08-04,17588.640625,17636.109375,17557.179688,17623.890625,17623.890625,5817500
2021-08-05,17624.820313,17643.970703,17566.720703,17603.119141,17603.119141,6348300
2021-08-06,17593.849609,17593.849609,17469.679688,17526.279297,17526.279297,5686300
2021-08-09,17505.009766,17510.089844,17350.150391,17485.150391,17485.150391,5189400
2021-08-10,17492.449219,17524.910156,17305.060547,17323.640625,17323.640625,4788400
2021-08-11,17308.619141,17327.199219,17090.250000,17227.179688,17227.179688,5654700
2021-08-12,17221.349609,17233.109375,17139.210938,17219.939453,17219.939453,4227200
2021-08-13,17216.339844,17216.339844,16978.109375,16982.109375,16982.109375,5206300
2021-08-16,16941.330078,16983.589844,16773.570313,16858.769531,16858.769531,4958100
2021-08-17,16841.619141,16870.550781,16657.630859,16661.359375,16661.359375,4136900
2021-08-18,16630.990234,16826.269531,16418.539063,16826.269531,16826.269531,5284900
2021-08-19,16777.779297,16777.779297,16375.400391,16375.400391,16375.400391,5329700
2021-08-20,16426.980469,16507.109375,16248.080078,16341.940430,16341.940430,4562600
2021-08-23,16459.130859,16785.289063,16459.130859,16741.839844,16741.839844,4379900
2021-08-24,16830.630859,16904.300781,16779.900391,16818.730469,16818.730469,5515800
2021-08-25,16821.080078,17045.859375,16821.080078,17045.859375,17045.859375,4501500
2021-08-26,17177.390625,17201.419922,16984.689453,17066.960938,17066.960938,4595100
2021-08-27,17061.099609,17229.890625,17000.259766,17209.929688,17209.929688,4252800
2021-08-30,17244.619141,17396.519531,17244.619141,17396.519531,17396.519531,3860100
2021-08-31,17384.609375,17490.289063,17207.570313,17490.289063,17490.289063,4900300
2021-09-01,17463.800781,17503.929688,17415.519531,17473.990234,17473.990234,4520700
2021-09-02,17455.919922,17523.160156,17319.759766,17319.759766,17319.759766,4558000
2021-09-03,17380.519531,17540.779297,17380.519531,17516.919922,17516.919922,4494700
